name,height,length,width,brand,city_mpg,highway_mpg,transmission_type,engine_torque,engine_horsepower,year,is_hybrid
2010 Ford Flex Limited AWD Turbo,191,5,135,Ford,16,22,Automatic transmission,350,355,2010,True
2011 Mazda CX-9 Sport,191,221,143,Mazda,17,24,Automatic transmission,270,273,2011,True
2011 Mazda CX-9 Sport AWD,191,221,143,Mazda,16,22,Automatic transmission,270,273,2011,True
2011 Mazda CX-9 Touring,191,221,143,Mazda,17,24,Automatic transmission,270,273,2011,True
2011 Mazda CX-9 Touring AWD,191,221,143,Mazda,16,22,Automatic transmission,270,273,2011,True
2011 Mazda CX-9 Grand Touring,191,221,143,Mazda,17,24,Automatic transmission,270,273,2011,True
2011 Mazda CX-9 Grand Touring AWD,191,221,143,Mazda,16,22,Automatic transmission,270,273,2011,True
2011 Volkswagen Tiguan S,148,75,16,Volkswagen,18,26,Manual transmission,207,200,2011,True
2011 Volkswagen Tiguan S AT,148,75,16,Volkswagen,20,25,Automatic transmission,207,200,2011,True
2011 Volkswagen Tiguan SE,148,75,16,Volkswagen,20,25,Automatic transmission,207,200,2011,True
2011 Volkswagen Tiguan SEL,150,75,16,Volkswagen,20,25,Automatic transmission,207,200,2011,True
2010 Volkswagen Touareg VR6 FSI Sport,191,146,135,Volkswagen,14,19,Automatic transmission,265,280,2010,True
2010 Volkswagen Touareg V6 TDI Clean Diesel Sport,191,146,135,Volkswagen,18,25,Automatic transmission,406,225,2010,True
2010 Mercedes-Benz CL550 4Matic,137,200,79,Mercedes,14,21,Automatic transmission,391,382,2010,True
2010 Mercedes-Benz CL600,137,200,79,Mercedes-Benz,11,17,Automatic transmission,612,510,2010,True
2010 Mercedes-Benz CL63 AMG,137,200,79,AMG,11,18,Automatic transmission,465,518,2010,True
2010 Mercedes-Benz CL65 AMG,137,200,79,AMG,11,17,Automatic transmission,738,621,2010,True
2011 BMW 128i Convertible,132,9,211,BMW Motorrad,18,28,Manual transmission,200,230,2011,True
2011 BMW 128i Convertible AT,132,9,211,BMW Motorrad,18,27,Automatic transmission,200,230,2011,True
2011 BMW 135i Convertible,132,9,211,BMW,19,28,Manual transmission,300,300,2011,True
2011 Mercedes-Benz CL600,137,231,79,Mercedes-Benz,12,18,Automatic transmission,612,510,2011,True
2011 Mercedes-Benz CL63 AMG,137,200,79,AMG,15,21,Automatic transmission,590,536,2011,True
2011 Mercedes-Benz CL550 4Matic,137,231,79,Mercedes-Benz,15,23,Automatic transmission,516,429,2011,True
2011 Mercedes-Benz CL65 AMG,137,200,79,AMG,12,18,Automatic transmission,738,621,2011,True
2010 BMW 135i Coupe AT,127,9,211,BMW Motorrad,18,25,Automatic transmission,300,300,2010,True
2010 BMW 135i Coupe,127,9,211,BMW Motorrad,18,25,Manual transmission,300,300,2010,True
2010 BMW 128i Coupe,142,9,211,BMW Motorrad,18,28,Manual transmission,200,230,2010,True
2010 BMW 128i Coupe AT,142,9,211,BMW Motorrad,18,28,Automatic transmission,200,230,2010,True
2010 Hyundai Tucson Limited,148,47,29,Hyundai,23,31,Automatic transmission,168,176,2010,True
2010 Hyundai Tucson GLS,120,47,29,Hyundai,22,30,Manual transmission,168,176,2010,True
2010 Hyundai Tucson Limited PZEV 4WD,148,47,29,Hyundai,21,28,Automatic transmission,163,170,2010,True
2010 Hyundai Tucson Limited 4WD,148,47,29,Hyundai,21,28,Automatic transmission,168,176,2010,True
2010 Hyundai Tucson GLS AT 4WD,120,47,29,Hyundai,21,28,Automatic transmission,168,176,2010,True
2010 Hyundai Tucson GLS PZEV 4WD,120,47,29,Hyundai,21,28,Automatic transmission,163,170,2010,True
2010 Hyundai Tucson Limited PZEV,148,47,29,Hyundai,23,31,Automatic transmission,163,170,2010,True
2010 Hyundai Tucson GLS AT,120,47,29,Hyundai,23,31,Automatic transmission,168,176,2010,True
2010 Hyundai Tucson GLS PZEV,120,47,29,Hyundai,23,31,Automatic transmission,163,170,2010,True
2011 BMW 135i Coupe,127,9,211,BMW Motorrad,20,28,Manual transmission,300,300,2011,True
2011 BMW 128i Coupe AT,142,9,211,BMW Motorrad,18,28,Automatic transmission,200,230,2011,True
2011 BMW 128i Coupe,142,9,211,BMW Motorrad,18,28,Manual transmission,200,230,2011,True
2010 Mercedes-Benz CLS550,134,53,79,Mercedes,14,21,Automatic transmission,391,382,2010,True
2010 Mercedes-Benz CLS63 AMG,109,53,79,AMG,12,18,Automatic transmission,465,507,2010,True
2011 Chevrolet Corvette Convertible 1LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Convertible 1LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Chevrolet Corvette Convertible 2LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Convertible 2LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Chevrolet Corvette Convertible 3LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Convertible 3LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Chevrolet Corvette Convertible 4LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Convertible 4LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Mercedes-Benz CLS63 AMG,134,53,79,Mercedes-AMG,12,18,Automatic transmission,465,507,2011,True
2010 Chevrolet Corvette Convertible 1LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Convertible 1LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Chevrolet Corvette Convertible 2LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Convertible 2LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Chevrolet Corvette Convertible 3LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Convertible 3LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Chevrolet Corvette Convertible 4LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Convertible 4LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2012 Mitsubishi Eclipse GT,71,230,41,Mitsubishi,17,25,Automatic transmission,262,265,2012,True
2012 Mitsubishi Eclipse SE,71,230,41,Mitsubishi,20,28,Automatic transmission,162,162,2012,True
2012 Mitsubishi Eclipse GS AT,71,230,41,Mitsubishi,20,28,Automatic transmission,162,162,2012,True
2012 Mitsubishi Eclipse GS,71,230,41,Mitsubishi,20,28,Manual transmission,162,162,2012,True
2012 Mitsubishi Eclipse GS-Sport,71,230,41,Mitsubishi,20,28,Automatic transmission,162,162,2012,True
2011 Mitsubishi Eclipse GS AT,71,230,41,Mitsubishi,20,28,Automatic transmission,162,162,2011,True
2011 Mitsubishi Eclipse GS,71,230,41,Mitsubishi,20,28,Manual transmission,162,162,2011,True
2011 Mitsubishi Eclipse GS-Sport,71,230,41,Mitsubishi,20,28,Automatic transmission,162,162,2011,True
2011 Mitsubishi Eclipse GT,71,230,41,Mitsubishi,17,25,Automatic transmission,262,265,2011,True
2010 Mitsubishi Eclipse GT AT,71,230,41,Mitsubishi,16,24,Automatic transmission,262,265,2010,True
2010 Mitsubishi Eclipse GS,71,230,41,Mitsubishi,20,28,Manual transmission,162,162,2010,True
2010 Mitsubishi Eclipse GS-Sport,71,230,41,Mitsubishi,20,27,Automatic transmission,162,162,2010,True
2010 Mitsubishi Eclipse GS AT,71,230,41,Mitsubishi,20,27,Automatic transmission,162,162,2010,True
2010 Mitsubishi Eclipse GT,71,230,41,Mitsubishi,16,25,Manual transmission,262,265,2010,True
2012 Chevrolet Corvette Coupe 1LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Coupe 1LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2012 Chevrolet Corvette Coupe 2LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Coupe 2LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2012 Chevrolet Corvette Coupe 3LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Coupe 3LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2012 Chevrolet Corvette Coupe 4LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Coupe 4LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2010 Toyota RAV4,148,12,24,Toyota,22,28,Automatic transmission,172,179,2010,True
2010 Toyota RAV4 4WD,148,12,24,Toyota,21,27,Automatic transmission,172,179,2010,True
2010 Toyota RAV4 V6,148,12,24,Toyota,19,27,Automatic transmission,246,269,2010,True
2010 Toyota RAV4 V6 4WD,148,12,24,Toyota,19,26,Automatic transmission,246,269,2010,True
2010 Toyota RAV4 Sport,208,12,62,Toyota,22,28,Automatic transmission,172,179,2010,True
2010 Toyota RAV4 Sport 4WD,208,12,62,Toyota,21,27,Automatic transmission,172,179,2010,True
2010 Toyota RAV4 Sport V6,208,12,62,Toyota,19,27,Automatic transmission,246,269,2010,True
2010 Toyota RAV4 Sport V6 4WD,208,12,62,Toyota,19,26,Automatic transmission,246,269,2010,True
2010 Toyota RAV4 Limited,208,12,62,Toyota,22,28,Automatic transmission,172,179,2010,True
2010 Toyota RAV4 Limited 4WD,208,12,62,Toyota,21,27,Automatic transmission,172,179,2010,True
2010 Toyota RAV4 Limited V6,208,12,62,Toyota,19,27,Automatic transmission,246,269,2010,True
2010 Toyota RAV4 Limited V6 4WD,208,12,62,Toyota,19,26,Automatic transmission,246,269,2010,True
2012 Mitsubishi Eclipse Spyder GS-Sport,94,230,41,Mitsubishi,20,27,Automatic transmission,162,162,2012,True
2012 Mitsubishi Eclipse Spyder SE,94,230,41,Mitsubishi,20,27,Automatic transmission,162,162,2012,True
2012 Mitsubishi Eclipse Spyder GT,94,230,41,Mitsubishi,16,24,Automatic transmission,262,265,2012,True
2011 Chevrolet Corvette Coupe 1LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Coupe 1LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Chevrolet Corvette Coupe 2LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Coupe 2LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Chevrolet Corvette Coupe 3LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Coupe 3LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Chevrolet Corvette Coupe 4LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Coupe 4LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Mitsubishi Eclipse Spyder GS-Sport,94,230,41,Mitsubishi,20,27,Automatic transmission,162,162,2011,True
2011 Mitsubishi Eclipse Spyder GT,94,230,41,Mitsubishi,16,24,Automatic transmission,262,265,2011,True
2010 Mitsubishi Eclipse Spyder GT,109,230,41,Mitsubishi,16,24,Automatic transmission,262,265,2010,True
2010 Mitsubishi Eclipse Spyder GS,101,230,41,Mitsubishi,19,26,Automatic transmission,162,162,2010,True
2011 Mitsubishi Endeavor LS,231,238,77,Mitsubishi,15,21,Automatic transmission,255,225,2011,True
2011 Mitsubishi Endeavor SE,231,238,77,Mitsubishi,15,21,Automatic transmission,255,225,2011,True
2011 Mitsubishi Endeavor SE AWD,231,238,77,Mitsubishi,15,19,Automatic transmission,255,225,2011,True
2010 Mitsubishi Endeavor LS,231,238,77,Mitsubishi,15,21,Automatic transmission,255,225,2010,True
2010 Mitsubishi Endeavor SE,231,238,77,Mitsubishi,15,21,Automatic transmission,255,225,2010,True
2010 Mitsubishi Endeavor SE AWD,231,238,77,Mitsubishi,15,19,Automatic transmission,255,225,2010,True
2011 Mitsubishi Galant SE,193,245,46,Mitsubishi,21,30,Automatic transmission,157,160,2011,True
2011 Mitsubishi Galant ES,190,245,46,Mitsubishi,21,30,Automatic transmission,157,160,2011,True
2010 Mitsubishi Galant ES,190,245,46,Mitsubishi,21,30,Automatic transmission,157,160,2010,True
2010 Mitsubishi Galant SE,193,245,46,Mitsubishi,21,30,Automatic transmission,157,160,2010,True
2011 Cadillac CTS-V Sedan,175,251,49,Cadillac,14,19,Manual transmission,551,556,2011,True
2011 Cadillac CTS-V Sedan AT,175,251,49,Cadillac,12,18,Automatic transmission,551,556,2011,True
2011 Mitsubishi Lancer ES,210,220,226,Mitsubishi,24,33,Manual transmission,146,148,2011,True
2011 Mitsubishi Lancer DE,210,220,226,Mitsubishi,24,33,Manual transmission,146,148,2011,True
2011 Mitsubishi Lancer GTS,210,220,226,Mitsubishi,22,31,Manual transmission,167,168,2011,True
2010 Mitsubishi Lancer DE,210,220,226,Mitsubishi,22,31,Manual transmission,146,152,2010,True
2010 Mitsubishi Lancer GTS,210,220,226,Mitsubishi,20,28,Manual transmission,167,168,2010,True
2010 Mitsubishi Lancer ES,210,220,226,Mitsubishi,22,31,Manual transmission,146,152,2010,True
2011 Hyundai Veracruz Limited AWD,13,233,153,Hyundai,16,21,Automatic transmission,257,260,2010,True
2010 Cadillac CTS-V Sedan,175,2,49,Cadillac,14,19,Manual transmission,551,556,2010,True
2010 Cadillac CTS-V Sedan AT,175,2,49,Cadillac,12,18,Automatic transmission,551,556,2010,True
2011 Cadillac CTS-V Coupe AT,142,200,90,Cadillac,12,18,Automatic transmission,551,556,2011,True
2011 Cadillac CTS-V Coupe,142,200,90,Cadillac,14,19,Manual transmission,551,556,2011,True
2011 Cadillac CTS-V Wagon,193,12,49,Cadillac,14,19,Manual transmission,551,556,2011,True
2011 Cadillac CTS-V Wagon AT,193,12,49,Cadillac,12,18,Automatic transmission,551,556,2011,True
2011 Cadillac CTS Sport Sedan,193,251,49,Cadillac,16,26,Manual transmission,223,270,2011,True
2011 Cadillac CTS Sport Sedan AT,193,251,49,Cadillac,18,27,Automatic transmission,223,270,2011,True
2011 Cadillac CTS Sport Sedan AWD,193,251,49,Cadillac,18,27,Automatic transmission,223,270,2011,True
2011 Cadillac CTS Sport Sedan Luxury,193,251,49,Cadillac,16,26,Manual transmission,223,270,2011,True
2011 Cadillac CTS Sport Sedan Luxury AT,193,251,49,Cadillac,18,27,Automatic transmission,223,270,2011,True
2011 Cadillac CTS Sport Sedan Performance,193,251,49,Cadillac,18,27,Automatic transmission,223,270,2011,True
2011 Cadillac CTS Sport Sedan Performance AWD,193,251,49,Cadillac,18,27,Automatic transmission,223,270,2011,True
2011 Cadillac CTS Sport Sedan 3.6L Performance,193,251,49,Cadillac,16,25,Manual transmission,273,304,2011,True
2011 Cadillac CTS Sport Sedan 3.6L Performance AT,193,251,49,Cadillac,18,27,Automatic transmission,273,304,2011,True
2010 Cadillac CTS Sport Sedan Luxury AT,223,2,49,Cadillac,18,27,Automatic transmission,223,270,2010,True
2011 Cadillac CTS Sport Sedan Premium,193,251,49,Cadillac,16,25,Manual transmission,273,304,2011,True
2011 Cadillac CTS Sport Sedan Premium AT,193,251,49,Cadillac,18,27,Automatic transmission,273,304,2011,True
2011 Cadillac CTS Sport Sedan Premium AWD,193,251,49,Cadillac,18,27,Automatic transmission,273,304,2011,True
2011 Cadillac CTS Sport Sedan,193,251,49,Cadillac,16,26,Manual transmission,223,270,2010,True
2011 Toyota Sequoia SR5,163,89,237,Toyota,14,20,Automatic transmission,327,310,2011,True
2011 Toyota Sequoia SR5 4x4,163,89,237,Toyota,14,19,Automatic transmission,327,310,2011,True
2011 Toyota Sequoia SR5 5.7L 4x4,163,89,237,Toyota,13,18,Automatic transmission,401,381,2011,True
2011 Toyota Sequoia SR5 FFV,163,89,237,Toyota,12,17,Automatic transmission,401,381,2011,True
2011 Toyota Sequoia Limited,163,89,237,Toyota,14,18,Automatic transmission,401,381,2011,True
2011 Toyota Sequoia Limited 4x4,163,89,237,Toyota,13,18,Automatic transmission,401,381,2011,True
2011 Toyota Sequoia Limited FFV,163,89,237,Toyota,12,17,Automatic transmission,401,381,2011,True
2011 Toyota Sequoia Platinum,163,89,237,Toyota,14,18,Automatic transmission,401,381,2011,True
2011 Toyota Sequoia Platinum 4x4,163,89,237,Toyota,13,18,Automatic transmission,401,381,2011,True
2011 Toyota Sequoia Platinum FFV,163,89,237,Toyota,12,17,Automatic transmission,401,381,2011,True
2010 BMW 328i Convertible,104,227,247,BMW Motorrad,17,26,Manual transmission,200,230,2010,True
2010 BMW 335i Convertible AT,104,227,247,BMW,17,26,Automatic transmission,300,300,2010,True
2010 BMW 335i Convertible,104,227,247,BMW,17,26,Manual transmission,300,300,2010,True
2010 BMW 328i Convertible AT,104,227,247,BMW Motorrad,18,27,Automatic transmission,200,230,2010,True
2009 Infiniti EX35,54,22,11,Infiniti,17,24,Automatic transmission,253,297,2009,True
2009 Infiniti EX35 AWD,54,22,11,Infiniti,16,23,Automatic transmission,253,297,2009,True
2009 Infiniti EX35 Journey,54,22,11,Infiniti,17,24,Automatic transmission,253,297,2009,True
2009 Infiniti EX35 Journey AWD,54,22,11,Infiniti,16,23,Automatic transmission,253,297,2009,True
2011 Mercedes-Benz E550 Cabriolet,117,91,249,Mercedes,15,22,Automatic transmission,391,382,2011,True
2011 Mercedes-Benz E350 Cabriolet,117,91,249,Mercedes,17,25,Automatic transmission,258,268,2011,True
2011 BMW 328i Convertible,104,12,247,BMW Motorrad,17,26,Manual transmission,200,230,2011,True
2011 BMW 335i Convertible AT,104,12,247,BMW,19,28,Automatic transmission,300,300,2011,True
2011 BMW 328i Convertible AT,104,12,247,BMW Motorrad,18,27,Automatic transmission,200,230,2011,True
2011 BMW 335is Convertible,91,12,247,BMW,18,26,Manual transmission,332,320,2011,True
2011 BMW 335i Convertible,104,12,247,BMW,19,28,Manual transmission,300,300,2011,True
2010 Infiniti EX35,36,22,11,Infiniti,17,24,Automatic transmission,253,297,2010,True
2010 Infiniti EX35 AWD,36,22,11,Infiniti,16,23,Automatic transmission,253,297,2010,True
2010 Infiniti EX35 Journey,36,22,11,Infiniti,17,24,Automatic transmission,253,297,2010,True
2010 Infiniti EX35 Journey AWD,36,22,11,Infiniti,16,23,Automatic transmission,253,297,2010,True
2010 Mercedes-Benz E550 Coupe,117,91,249,Mercedes,15,23,Automatic transmission,391,382,2010,True
2010 Mercedes-Benz E350 Coupe,117,91,249,Mercedes,17,26,Automatic transmission,258,268,2010,True
2011 Mercedes-Benz E350 Coupe,111,91,249,Mercedes,17,26,Automatic transmission,258,268,2011,True
2011 Mercedes-Benz E550 Coupe,111,91,249,Mercedes,15,23,Automatic transmission,391,382,2011,True
2010 Chevrolet Corvette Coupe 1LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Coupe 1LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Chevrolet Corvette Coupe 2LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Coupe 2LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Chevrolet Corvette Coupe 3LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Coupe 3LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Chevrolet Corvette Coupe 4LT,223,82,52,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Coupe 4LT AT,223,82,52,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Mercedes-Benz E350 4Matic Sedan,185,5,62,Mercedes,17,24,Automatic transmission,258,268,2010,True
2010 Mercedes-Benz E550 4Matic Sedan,185,5,135,Mercedes,15,23,Automatic transmission,391,382,2010,True
2010 Mercedes-Benz E550 Sedan,185,5,135,Mercedes,16,24,Automatic transmission,391,382,2010,True
2010 Mercedes-Benz E350 Sedan,185,5,62,Mercedes,18,26,Automatic transmission,258,268,2010,True
2010 Mercedes-Benz E63 AMG,162,22,183,AMG,13,20,Automatic transmission,465,518,2010,True
2010 BMW 328i Coup,94,247,247,BMW Motorrad,18,28,Manual transmission,200,230,2010,True
2010 BMW 335i xDrive Coup AT,114,247,247,BMW,17,25,Automatic transmission,300,300,2010,True
2010 BMW 328i xDrive Coup,114,247,247,BMW Motorrad,17,25,Manual transmission,200,230,2010,True
2010 BMW 335i Coup AT,94,247,247,BMW,17,26,Automatic transmission,300,300,2010,True
2010 BMW 335i Coup,94,247,247,BMW,17,26,Manual transmission,300,300,2010,True
2010 BMW 328i Coup AT,94,247,247,BMW Motorrad,18,28,Automatic transmission,200,230,2010,True
2010 BMW 328i xDrive Coup AT,114,247,247,BMW Motorrad,17,25,Automatic transmission,200,230,2010,True
2010 BMW 335i xDrive Coup,114,247,247,BMW,16,25,Manual transmission,300,300,2010,True
2012 Chevrolet Corvette ZR1 1ZR,212,123,135,Chevrolet,14,21,Manual transmission,604,638,2012,True
2012 Chevrolet Corvette ZR1 3ZR,212,123,135,Chevrolet,14,21,Manual transmission,604,638,2012,True
2011 Chevrolet Corvette ZR1 1ZR,212,123,135,Chevrolet,14,20,Manual transmission,604,638,2011,True
2011 Chevrolet Corvette ZR1 3ZR,212,123,135,Chevrolet,14,20,Manual transmission,604,638,2011,True
2010 Chevrolet Corvette ZR1 1ZR,212,123,135,Chevrolet,14,20,Manual transmission,604,638,2010,True
2010 Chevrolet Corvette ZR1 3ZR,212,123,135,Chevrolet,14,20,Manual transmission,604,638,2010,True
2011 Nissan Sentra SE-R Spec V,221,222,254,Nissan,21,28,Manual transmission,180,200,2011,True
2011 Nissan Sentra 2.0,231,214,254,Nissan,24,31,Manual transmission,147,140,2011,True
2012 Chevrolet Corvette Grand Sport Coupe 1LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Coupe 1LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Coupe 2LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Coupe 2LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Coupe 3LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Coupe 3LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Coupe 4LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Coupe 4LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2011 BMW 335i xDrive Coup AT,114,12,247,BMW,18,27,Automatic transmission,300,300,2011,True
2011 BMW 328i Coup AT,94,12,247,BMW Motorrad,18,28,Automatic transmission,200,230,2011,True
2011 BMW 328i xDrive Coup,114,12,247,BMW Motorrad,17,25,Manual transmission,200,230,2011,True
2011 BMW 335i Coup AT,94,12,247,BMW,19,28,Automatic transmission,300,300,2011,True
2011 BMW 328i Coup,94,12,247,BMW Motorrad,18,28,Manual transmission,200,230,2011,True
2011 BMW 328i xDrive Coup AT,114,12,247,BMW Motorrad,17,26,Automatic transmission,200,230,2011,True
2011 BMW 335is Coup,94,12,247,BMW,18,26,Manual transmission,332,320,2011,True
2011 BMW 335i xDrive Coup,114,12,247,BMW,19,26,Manual transmission,300,300,2011,True
2011 BMW 335i Coup,94,12,247,BMW,19,28,Manual transmission,300,300,2011,True
2011 Chevrolet Corvette Grand Sport Coupe 1LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Grand Sport Coupe 1LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Chevrolet Corvette Grand Sport Coupe 2LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Grand Sport Coupe 2LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Chevrolet Corvette Grand Sport Coupe 3LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Grand Sport Coupe 3LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Chevrolet Corvette Grand Sport Coupe 4LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2011,True
2011 Chevrolet Corvette Grand Sport Coupe 4LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2011,True
2011 Mercedes-Benz E550 Sedan,190,5,62,Mercedes,15,23,Automatic transmission,391,382,2011,True
2011 Mercedes-Benz E550 4Matic Sedan,190,5,62,Mercedes,15,23,Automatic transmission,391,382,2011,True
2011 Mercedes-Benz E350 Sedan,190,5,62,Mercedes,17,24,Automatic transmission,258,268,2011,True
2011 Mercedes-Benz E63 AMG,162,22,79,AMG,13,20,Automatic transmission,465,518,2011,True
2011 Mercedes-Benz E350 BlueTEC Sedan,190,5,62,Mercedes,22,33,Automatic transmission,400,210,2011,True
2011 Mercedes-Benz E350 4Matic Sedan,190,5,62,Mercedes,17,24,Automatic transmission,258,268,2011,True
2010 Chevrolet Corvette Grand Sport Coupe 1LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Grand Sport Coupe 1LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Chevrolet Corvette Grand Sport Coupe 2LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Grand Sport Coupe 2LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Chevrolet Corvette Grand Sport Coupe 3LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Grand Sport Coupe 3LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2010 Chevrolet Corvette Grand Sport Coupe 4LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2010,True
2010 Chevrolet Corvette Grand Sport Coupe 4LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2010,True
2011 Mercedes-Benz E350 4Matic Wagon,216,30,62,Mercedes,16,23,Automatic transmission,258,268,2011,True
2010 Mercedes-Benz G550,138,78,31,Mercedes,11,15,Automatic transmission,391,382,2010,True
2010 Mercedes-Benz G55 AMG,138,78,64,Mercedes-AMG,11,15,Automatic transmission,516,500,2010,True
2011 Mercedes-Benz G550,138,78,31,Mercedes,11,15,Automatic transmission,391,382,2011,True
2011 Mercedes-Benz G55 4Matic AMG,138,78,31,Mercedes-AMG,11,13,Automatic transmission,516,500,2011,True
2012 Chevrolet Corvette Grand Sport Convertible 1LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Convertible 1LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Convertible 2LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Convertible 2LT AT,212,108,135,Chevrolet,15,25,Automatic transmission,424,430,2012,True
2012 Chevrolet Corvette Grand Sport Convertible 3LT,212,108,135,Chevrolet,16,26,Manual transmission,424,430,2012,True
