Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position
Fourth or above,5,36,7.0,Right-handed,On your right side
Third,4,4,7.0,Right-handed,On your back
First,3,2,7.0,Right-handed,On your right side
Second,4,10,8.0,Right-handed,On your left side
First,7,50,8.0,Right-handed,On your right side
Third,5,2,7.0,Right-handed,On your back
Third,7,2,6.0,Right-handed,On your right side
Fourth or above,1,6,8.0,Right-handed,On your right side
Second,3,5,7.0,Right-handed,On your right side
Second,5,6,8.0,Right-handed,On your stomach
First,3,5,7.5,Right-handed,On your left side
Second,4,7,7.0,Right-handed,On your stomach
Third,7,4,7.0,Right-handed,On your stomach
Second,8,3,7.5,Right-handed,On your stomach
First,5,5,7.0,Right-handed,On your right side
Fourth or above,8,6,6.0,Right-handed,On your stomach
Third,8,8,7.0,Right-handed,On your right side
Second,7,15,7.0,Right-handed,On your stomach
Second,10,6,7.0,Right-handed,On your right side
First,8,40,7.0,Right-handed,On your stomach
First,7,9,9.0,Right-handed,On your stomach
Second,6,7,6.0,Right-handed,On your right side
Third,5,3,7.0,Right-handed,On your right side
Second,8,10,6.0,Right-handed,On your back
Second,9,15,8.0,Right-handed,On your right side
Second,6,3,7.0,Right-handed,On your right side
First,3,8,6.5,Right-handed,On your back
Second,5,8,7.0,Right-handed,On your right side
Third,4,2,6.0,Left-handed,On your left side
First,3,3,8.5,Right-handed,On your right side
First,9,4,5.0,Right-handed,On your right side
First,7,4,7.0,Right-handed,On your back
Fourth or above,7,10,6.0,Right-handed,On your left side
Second,8,2,7.0,Right-handed,On your left side
Third,5,6,8.0,Right-handed,On your back
Second,4,6,6.0,Right-handed,On your right side
First,7,8,8.0,Right-handed,On your left side
First,5,8,7.0,Right-handed,On your left side
First,5,20,8.0,Right-handed,On your right side
Second,3,5,7.5,Right-handed,On your back
Second,7,10,8.0,Right-handed,On your stomach
First,2,3,8.0,Right-handed,On your stomach
Second,9,10,6.0,Right-handed,On your right side
Third,5,2,6.0,Right-handed,On your right side
First,3,4,7.0,Right-handed,On your right side
Second,9,7,8.0,Right-handed,On your back
Second,4,4,6.0,Right-handed,On your left side
Second,7,3,6.0,Right-handed,On your right side
Second,4,1,8.0,Right-handed,On your stomach
Second,7,5,7.0,Right-handed,On your left side
Second,7,2,7.0,Right-handed,On your left side
First,6,2,6.0,Right-handed,On your left side
Second,5,2,7.0,Right-handed,On your left side
Second,7,5,7.0,Right-handed,On your left side
First,6,4,7.0,Right-handed,On your right side
First,4,5,7.0,Right-handed,On your right side
Second,7,10,8.0,Right-handed,On your left side
Second,8,10,7.5,Right-handed,On your stomach
Fourth or above,5,15,8.0,Right-handed,On your stomach
First,7,7,10.0,Right-handed,On your left side
Second,7,7,7.0,Right-handed,On your right side
First,10,9,5.0,Left-handed,On your stomach
Third,6,9,7.0,Left-handed,On your right side
Second,7,5,7.0,Right-handed,On your stomach
Third,8,15,7.0,Right-handed,On your back
Second,8,10,7.0,Right-handed,On your right side
Fourth or above,7,2,7.0,Right-handed,On your left side
Second,9,10,7.0,Right-handed,On your back
First,5,8,9.0,Right-handed,On your stomach
Second,8,7,7.0,Right-handed,On your right side
First,7,10,7.0,Right-handed,On your stomach
Second,4,4,8.5,Right-handed,On your left side
Second,8,5,7.0,Right-handed,On your right side
Third,10,8,8.0,Right-handed,On your right side
Second,8,2,6.0,Left-handed,On your left side
First,5,10,7.0,Right-handed,On your stomach
First,9,5,7.0,Right-handed,On your back
First,4,8,8.0,Right-handed,On your stomach
First,4,2,6.0,Right-handed,On your left side
Second,2,1,8.0,Right-handed,On your back
First,7,5,7.0,Right-handed,On your left side
First,6,4,6.0,Right-handed,On your back
Fourth or above,2,3,7.0,Right-handed,On your left side
First,8,25,8.0,Right-handed,On your right side
Third,3,3,9.0,Right-handed,On your right side
Second,4,3,7.0,Right-handed,On your right side
Second,2,4,9.0,Right-handed,On your stomach
Third,5,5,9.0,Right-handed,On your stomach
Third,7,5,7.0,Right-handed,On your right side
First,6,10,9.0,Right-handed,On your right side
Fourth or above,5,5,7.0,Right-handed,On your left side
Third,2,8,7.0,Right-handed,On your back
Third,4,4,6.0,Right-handed,On your back
Third,8,5,7.0,Right-handed,On your stomach
First,4,10,8.0,Right-handed,On your left side
First,5,4,6.0,Right-handed,On your right side
Fourth or above,6,3,5.0,Right-handed,On your left side
First,3,10,7.0,Right-handed,On your stomach
First,4,3,6.0,Right-handed,On your right side
First,4,3,7.0,Right-handed,On your left side
Second,4,5,8.0,Right-handed,On your left side
Fourth or above,4,5,8.0,Right-handed,On your back
First,3,3,6.0,Right-handed,On your right side
First,8,50,8.0,Left-handed,On your back
First,3,6,6.0,Right-handed,On your left side
Second,7,7,8.0,Right-handed,On your stomach
Second,3,4,6.0,Right-handed,On your back
Third,8,6,7.5,Right-handed,On your stomach
Second,4,7,6.0,Right-handed,On your back
First,8,10,7.0,Right-handed,On your right side
Second,4,30,7.0,Right-handed,On your left side
First,8,4,7.0,Right-handed,On your right side
Third,2,0,7.0,Right-handed,On your right side
Second,8,6,8.0,Right-handed,On your left side
First,7,7,7.0,Right-handed,On your right side
First,8,25,9.0,Right-handed,On your stomach
Third,6,3,7.0,Right-handed,On your stomach
First,5,10,8.0,Right-handed,On your left side
Second,1,2,6.0,Right-handed,On your right side
Second,3,4,8.5,Right-handed,On your stomach
Second,8,25,10.0,Right-handed,On your right side
First,9,10,6.0,Right-handed,On your right side
First,5,4,7.0,Right-handed,On your left side
Second,3,4,6.0,Right-handed,On your stomach
Fourth or above,3,10,6.0,Right-handed,On your left side
Fourth or above,8,2,5.0,Right-handed,On your right side
Third,6,2,6.0,Right-handed,On your stomach
Third,8,5,7.0,Right-handed,On your back
Third,3,3,6.0,Right-handed,On your stomach
First,5,8,7.0,Right-handed,On your left side
Third,7,7,8.0,Right-handed,On your stomach
Third,5,5,9.0,Right-handed,On your right side
Third,5,3,6.0,Right-handed,On your back
First,5,5,7.0,Right-handed,On your right side
Second,7,8,7.0,Right-handed,On your left side
First,9,10,6.0,Both,On your right side
Second,6,3,8.0,Right-handed,On your back
Fourth or above,8,10,8.0,Right-handed,On your right side
Second,7,7,8.0,Right-handed,On your back
Third,3,5,8.0,Both,On your right side
Second,6,10,7.0,Right-handed,On your back
Second,6,25,8.0,Right-handed,On your left side
First,7,10,8.0,Right-handed,On your right side
Second,8,15,8.0,Left-handed,On your stomach
Second,3,5,8.0,Right-handed,On your stomach
First,4,5,7.0,Right-handed,On your stomach
Second,7,10,6.0,Right-handed,On your left side
Third,7,6,7.0,Right-handed,On your back
Fourth or above,5,6,7.0,Right-handed,On your left side
Second,5,7,6.0,Right-handed,On your left side
Third,5,2,5.0,Right-handed,On your back
Second,4,8,8.0,Right-handed,On your back
Second,5,7,8.5,Right-handed,On your stomach
Second,8,3,7.0,Right-handed,On your back
First,4,15,7.0,Right-handed,On your right side
First,9,10,8.0,Right-handed,On your right side
First,8,10,8.0,Right-handed,On your right side
Second,4,5,7.0,Right-handed,On your left side
Third,3,7,6.0,Right-handed,On your right side
First,4,5,8.0,Right-handed,On your left side
First,5,2,7.0,Right-handed,On your left side
Third,8,11,7.5,Right-handed,On your right side
First,5,10,8.0,Right-handed,On your left side
Second,4,5,8.0,Right-handed,On your right side
First,7,2,6.0,Right-handed,On your right side
First,4,20,6.0,Right-handed,On your stomach
First,8,5,6.0,Right-handed,On your left side
Second,7,8,7.0,Right-handed,On your right side
First,9,6,7.0,Both,On your back
First,7,5,7.0,Right-handed,On your left side
Second,6,4,8.0,Left-handed,On your right side
Second,3,5,7.0,Right-handed,On your right side
Second,2,10,6.0,Right-handed,On your back
First,6,2,8.0,Right-handed,On your stomach
Third,3,5,8.0,Right-handed,On your left side
First,8,5,7.0,Right-handed,On your left side
Third,3,2,8.0,Left-handed,On your back
Fourth or above,7,3,7.0,Right-handed,On your back
First,7,8,7.0,Right-handed,On your back
First,8,20,6.0,Right-handed,On your left side
Second,7,10,8.0,Right-handed,On your back
Second,5,9,6.0,Right-handed,On your right side
Second,9,8,8.0,Right-handed,On your back
First,4,5,8.0,Right-handed,On your right side
First,7,5,6.0,Right-handed,On your right side
Third,6,10,8.0,Right-handed,On your left side
First,6,5,8.0,Right-handed,On your back
Second,6,3,6.0,Right-handed,On your left side
First,5,15,7.0,Right-handed,On your stomach
Second,6,5,8.0,Right-handed,On your left side
Second,6,16,8.0,Right-handed,On your back
First,7,5,8.0,Right-handed,On your back
Third,8,3,8.0,Right-handed,On your back
Third,3,2,6.0,Right-handed,On your right side
First,5,5,7.0,Right-handed,On your left side
First,4,10,8.5,Right-handed,On your back
First,5,4,6.0,Right-handed,On your right side
Second,4,4,5.0,Left-handed,On your left side
Third,4,7,6.0,Right-handed,On your left side
First,4,18,8.0,Right-handed,On your back
Fourth or above,3,3,8.0,Right-handed,On your back
First,8,20,6.0,Right-handed,On your stomach
Second,2,1,7.0,Right-handed,On your back
Second,4,5,6.0,Right-handed,On your back
Third,4,5,6.0,Right-handed,On your left side
First,7,10,7.0,Right-handed,On your back
Second,6,4,10.0,Right-handed,On your back
First,4,6,7.5,Right-handed,On your right side
Third,5,4,7.0,Right-handed,On your stomach
First,4,5,7.0,Right-handed,On your right side
Third,10,4,12.0,Right-handed,On your right side
Second,3,7,7.0,Right-handed,On your left side
Second,6,4,6.0,Right-handed,On your back
Fourth or above,2,2,8.0,Right-handed,On your right side
Second,8,9,8.0,Right-handed,On your back
Second,8,10,6.0,Right-handed,On your left side
Second,8,25,8.0,Right-handed,On your back
Second,7,10,7.0,Right-handed,On your right side
First,3,3,8.0,Left-handed,On your right side
Second,7,3,7.0,Right-handed,On your stomach
First,8,2,7.0,Right-handed,On your left side
Fourth or above,3,2,8.0,Right-handed,On your right side
Second,5,5,7.0,Right-handed,On your left side
Third,5,4,6.0,Right-handed,On your left side
Fourth or above,8,10,7.0,Right-handed,On your left side
First,6,5,7.0,Right-handed,On your right side
First,5,5,6.0,Right-handed,On your left side
First,1,3,3.0,Right-handed,On your stomach
First,9,10,5.0,Right-handed,On your right side
Second,4,12,7.0,Right-handed,On your stomach
First,6,3,6.0,Right-handed,On your back
Third,8,3,7.0,Right-handed,On your left side
Second,6,15,7.0,Right-handed,On your right side
First,8,20,8.0,Right-handed,On your right side
Third,4,3,6.0,Right-handed,On your back
Third,4,10,8.0,Right-handed,On your left side
Third,5,5,7.0,Right-handed,On your right side
First,7,15,8.0,Right-handed,On your stomach
First,8,20,7.0,Right-handed,On your stomach
Second,5,6,7.0,Right-handed,On your left side
First,8,12,6.0,Left-handed,On your stomach
First,4,6,6.0,Right-handed,On your left side
Second,7,17,7.0,Right-handed,On your right side
Second,2,5,7.0,Right-handed,On your right side
Third,4,6,9.0,Right-handed,On your back
First,5,8,7.0,Right-handed,On your right side
Fourth or above,6,6,7.0,Right-handed,On your left side
First,2,3,7.0,Right-handed,On your right side
Third,1,3,5.0,Right-handed,On your stomach
First,4,6,8.0,Right-handed,On your stomach
First,9,8,8.0,Left-handed,On your left side
Third,7,3,6.0,Right-handed,On your right side
Third,8,12,7.0,Left-handed,On your right side
Second,7,10,9.0,Right-handed,On your back
Third,8,10,7.0,Right-handed,On your right side
First,3,6,7.0,Right-handed,On your left side
First,4,6,6.0,Right-handed,On your left side
Third,9,30,6.0,Right-handed,On your right side
Second,10,5,7.0,Left-handed,On your right side
First,4,10,5.0,Right-handed,On your right side
First,8,5,5.0,Right-handed,On your stomach
First,2,5,5.0,Right-handed,On your left side
First,4,6,8.0,Right-handed,On your right side
First,8,5,8.0,Right-handed,On your right side
First,2,10,8.0,Right-handed,On your back
First,6,5,8.0,Right-handed,On your right side
Third,8,9,7.0,Right-handed,On your back
Third,2,7,8.0,Right-handed,On your back
First,8,10,7.0,Right-handed,On your left side
Second,7,20,8.5,Right-handed,On your left side
First,8,10,6.0,Right-handed,On your left side
First,10,9,6.0,Right-handed,On your stomach
Second,5,3,7.0,Right-handed,On your right side
First,6,20,7.0,Right-handed,On your right side
Second,7,10,8.0,Right-handed,On your left side
First,5,7,6.5,Right-handed,On your stomach
Second,6,7,4.0,Right-handed,On your stomach
Fourth or above,8,5,7.0,Right-handed,On your left side
Fourth or above,9,10,8.0,Right-handed,On your left side
Second,1,2,7.0,Right-handed,On your back
Second,3,3,7.0,Right-handed,On your left side
First,5,4,6.5,Right-handed,On your left side
Second,8,7,6.0,Right-handed,On your right side
Second,7,4,7.0,Right-handed,On your right side
Second,7,4,8.0,Right-handed,On your right side
Fourth or above,5,3,7.0,Right-handed,On your right side
First,3,5,7.0,Left-handed,On your right side
First,7,23,9.0,Right-handed,On your right side
Fourth or above,7,2,9.0,Right-handed,On your right side
Second,6,3,8.0,Right-handed,On your stomach
Third,6,8,7.0,Right-handed,On your right side
Third,7,15,8.0,Right-handed,On your right side
Third,7,6,7.0,Right-handed,On your back
Third,3,2,4.0,Right-handed,On your left side
First,8,7,7.0,Right-handed,On your right side
First,6,5,7.0,Right-handed,On your stomach
Third,4,8,7.0,Left-handed,On your left side
Fourth or above,4,3,8.0,Right-handed,On your stomach
First,4,6,7.5,Right-handed,On your back
Second,4,4,6.5,Right-handed,On your right side
Second,6,9,7.0,Right-handed,On your stomach
Third,5,18,6.0,Right-handed,On your left side
Third,2,4,7.0,Left-handed,On your right side
Fourth or above,9,5,6.0,Right-handed,On your right side
First,8,5,8.0,Right-handed,On your right side
Second,8,7,7.0,Left-handed,On your back
Second,7,10,7.0,Left-handed,On your back
Second,6,3,6.0,Right-handed,On your right side
Second,7,10,7.0,Left-handed,On your right side
Fourth or above,7,5,7.0,Right-handed,On your right side
First,4,6,7.0,Right-handed,On your left side
Second,6,5,7.5,Right-handed,On your left side
Third,9,7,8.0,Right-handed,On your right side
Second,5,8,7.0,Right-handed,On your back
First,5,10,7.0,Right-handed,On your right side
First,7,8,7.0,Right-handed,On your left side
First,4,6,8.5,Right-handed,On your back
First,5,7,7.0,Right-handed,On your back
First,6,5,7.0,Right-handed,On your right side
First,6,5,7.0,Right-handed,On your right side
Third,6,2,7.0,Right-handed,On your stomach
Second,8,9,8.0,Right-handed,On your stomach
First,7,6,7.0,Right-handed,On your back
Second,6,10,9.0,Right-handed,On your right side
First,4,7,8.0,Right-handed,On your left side
First,8,10,8.0,Right-handed,On your right side
Third,5,10,6.0,Right-handed,On your right side
Third,5,5,7.0,Right-handed,On your back
Second,5,15,7.0,Both,On your left side
Second,9,11,7.0,Right-handed,On your right side
Second,7,15,6.0,Right-handed,On your right side
Second,6,20,7.0,Left-handed,On your right side
Fourth or above,3,3,7.0,Right-handed,On your back
Third,5,4,7.0,Right-handed,On your left side
Second,5,4,7.0,Right-handed,On your back
First,5,7,8.0,Right-handed,On your right side
First,5,5,8.0,Right-handed,On your back
First,7,5,7.5,Right-handed,On your stomach
Second,7,3,8.0,Right-handed,On your right side
Fourth or above,7,0,7.0,Right-handed,On your right side
Third,7,4,9.0,Right-handed,On your back
First,8,5,6.0,Right-handed,On your right side
Fourth or above,7,12,5.0,Right-handed,On your right side
First,6,7,6.0,Right-handed,On your back
Third,3,5,8.0,Right-handed,On your left side
Second,8,7,7.0,Right-handed,On your right side
First,4,3,6.0,Left-handed,On your back
Second,9,10,8.0,Left-handed,On your right side
First,4,5,6.0,Right-handed,On your left side
Second,8,5,7.0,Right-handed,On your left side
Second,8,5,7.0,Right-handed,On your right side
First,2,6,7.0,Left-handed,On your back
Third,4,4,7.0,Right-handed,On your stomach
First,6,5,7.0,Right-handed,On your back
First,7,4,6.0,Right-handed,On your right side
Third,6,5,6.0,Right-handed,On your stomach
First,8,3,9.0,Right-handed,On your left side
First,10,18,8.0,Right-handed,On your left side
Second,7,7,7.0,Right-handed,On your back
Second,8,5,7.5,Left-handed,On your back
Third,7,6,7.0,Right-handed,On your right side
Second,7,2,6.0,Right-handed,On your stomach
First,8,2,6.0,Right-handed,On your back
Second,9,2,7.0,Right-handed,On your stomach
Second,7,7,8.0,Right-handed,On your right side
Fourth or above,8,2,6.0,Left-handed,On your stomach
First,5,6,8.0,Right-handed,On your right side
First,7,10,8.0,Right-handed,On your right side
First,8,10,7.5,Right-handed,On your right side
Second,4,7,8.0,Right-handed,On your left side
Fourth or above,6,7,6.5,Right-handed,On your left side
Third,7,10,6.0,Right-handed,On your back
First,6,4,7.0,Right-handed,On your left side
Second,7,3,9.0,Right-handed,On your left side
Second,5,3,7.0,Right-handed,On your stomach
First,5,7,7.0,Right-handed,On your left side
Third,4,3,7.0,Right-handed,On your back
First,7,20,7.0,Right-handed,On your right side
Third,4,5,7.0,Right-handed,On your back
First,3,10,6.5,Right-handed,On your right side
Fourth or above,1,2,5.0,Left-handed,On your back
First,6,6,8.0,Right-handed,On your left side
Fourth or above,3,5,6.0,Right-handed,On your right side
Fourth or above,7,10,7.0,Right-handed,On your left side
Second,10,15,7.0,Right-handed,On your back
Third,5,2,8.0,Right-handed,On your back
Second,8,20,7.0,Right-handed,On your back
Second,8,10,7.0,Left-handed,On your back
Third,9,10,8.0,Right-handed,On your right side
Third,6,3,6.0,Right-handed,On your stomach
Fourth or above,5,5,9.0,Left-handed,On your left side
First,3,5,6.5,Right-handed,On your right side
Third,5,3,6.0,Right-handed,On your back
Third,5,5,8.0,Right-handed,On your right side
Second,7,3,8.0,Right-handed,On your stomach
Second,8,15,7.0,Right-handed,On your right side
First,9,20,5.0,Right-handed,On your right side
Third,5,2,7.0,Right-handed,On your back
Third,4,5,8.0,Right-handed,On your right side
First,3,4,5.0,Right-handed,On your left side
Second,3,3,6.0,Right-handed,On your back
First,7,10,7.0,Right-handed,On your stomach
First,4,5,8.0,Right-handed,On your right side
Third,5,7,6.0,Right-handed,On your right side
Fourth or above,8,5,8.0,Left-handed,On your stomach
Fourth or above,8,10,7.0,Right-handed,On your right side
Second,7,3,6.0,Right-handed,On your stomach
Third,6,2,6.0,Right-handed,On your stomach
First,4,5,7.0,Right-handed,On your stomach
First,5,10,9.0,Right-handed,On your right side
First,5,10,7.0,Right-handed,On your back
Second,6,10,7.0,Right-handed,On your stomach
Third,3,3,6.0,Right-handed,On your right side
Second,3,2,7.0,Right-handed,On your right side
Fourth or above,2,2,6.0,Right-handed,On your right side
First,4,2,8.0,Right-handed,On your right side
First,5,8,7.0,Left-handed,On your left side
Second,4,8,8.0,Left-handed,On your left side
First,7,3,7.5,Left-handed,On your right side
Second,8,10,6.0,Right-handed,On your right side
First,5,7,7.0,Right-handed,On your left side
Fourth or above,5,10,7.0,Right-handed,On your left side
First,5,8,7.0,Right-handed,On your back
First,5,3,8.0,Right-handed,On your back
Second,3,1,6.0,Right-handed,On your back
Fourth or above,6,3,7.0,Left-handed,On your right side
Third,6,5,8.0,Right-handed,On your left side
Third,7,4,6.0,Right-handed,On your left side
First,7,16,7.0,Right-handed,On your stomach
First,8,3,8.0,Right-handed,On your right side
Third,8,10,8.0,Right-handed,On your right side
First,7,10,7.0,Right-handed,On your back
First,9,20,6.0,Right-handed,On your back
First,7,15,8.0,Right-handed,On your right side
Second,7,6,6.0,Right-handed,On your right side
First,7,12,6.5,Right-handed,On your right side
Fourth or above,9,5,7.0,Right-handed,On your left side
Second,7,3,6.0,Right-handed,On your right side
Second,6,5,6.0,Right-handed,On your stomach
Fourth or above,8,6,7.0,Right-handed,On your stomach
Fourth or above,4,5,7.0,Right-handed,On your right side
Second,7,57,7.0,Right-handed,On your left side
First,6,7,8.0,Right-handed,On your left side
Second,4,4,8.0,Left-handed,On your back
First,8,8,6.0,Right-handed,On your back
Third,8,5,6.0,Left-handed,On your back
Fourth or above,5,3,7.5,Right-handed,On your back
First,3,4,9.0,Right-handed,On your back
Third,6,2,7.0,Right-handed,On your back
First,8,7,7.0,Right-handed,On your left side
First,4,10,7.0,Right-handed,On your left side
Second,5,5,6.0,Right-handed,On your back
First,9,8,7.0,Right-handed,On your back
Second,8,3,7.0,Right-handed,On your right side
Third,7,4,7.0,Right-handed,On your stomach
First,6,4,8.0,Right-handed,On your left side
Second,3,4,9.0,Right-handed,On your left side
First,6,3,9.0,Right-handed,On your right side
First,5,5,6.0,Left-handed,On your stomach
Second,7,5,6.0,Right-handed,On your stomach
Fourth or above,3,7,5.0,Right-handed,On your back
Fourth or above,9,10,7.0,Right-handed,On your left side
Fourth or above,2,3,7.0,Right-handed,On your left side
Second,5,8,7.0,Right-handed,On your left side
Second,8,15,7.0,Right-handed,On your back
Second,6,15,7.0,Right-handed,On your left side
First,7,8,8.0,Right-handed,On your right side
Fourth or above,4,6,8.5,Right-handed,On your back
First,5,5,9.0,Right-handed,On your left side
Second,6,15,7.0,Right-handed,On your left side
Fourth or above,3,1,7.0,Right-handed,On your back
Fourth or above,5,4,7.0,Right-handed,On your left side
Third,5,1,7.0,Right-handed,On your stomach
Second,2,4,7.0,Right-handed,On your left side
First,6,2,7.0,Left-handed,On your left side
Second,7,8,7.0,Right-handed,On your left side
First,8,10,8.0,Right-handed,On your left side
First,5,4,6.0,Right-handed,On your stomach
Fourth or above,5,2,7.0,Right-handed,On your back
First,3,4,7.0,Right-handed,On your left side
Second,7,4,7.0,Right-handed,On your back
Second,7,6,6.0,Right-handed,On your left side
First,6,4,7.0,Right-handed,On your stomach
Third,4,10,6.0,Right-handed,On your right side
Second,8,15,7.0,Right-handed,On your stomach
Fourth or above,8,12,6.0,Right-handed,On your right side
Second,5,4,7.0,Right-handed,On your stomach
First,2,4,8.0,Right-handed,On your back
First,8,4,7.0,Both,On your left side
Second,8,6,6.0,Right-handed,On your left side
First,3,10,8.0,Right-handed,On your stomach
Second,7,10,8.0,Right-handed,On your left side
Second,4,4,9.0,Right-handed,On your right side
First,4,8,8.0,Right-handed,On your back
Third,5,3,6.0,Right-handed,On your back
First,3,3,7.5,Right-handed,On your stomach
Second,7,10,5.0,Right-handed,On your left side
Third,7,2,7.0,Right-handed,On your right side
First,8,20,7.0,Right-handed,On your stomach
Third,7,3,7.0,Right-handed,On your right side
Third,3,4,8.0,Right-handed,On your back
Third,5,3,7.0,Right-handed,On your back
Fourth or above,5,3,7.0,Both,On your right side
Fourth or above,2,5,7.0,Right-handed,On your left side
First,8,5,8.5,Right-handed,On your stomach
First,7,14,8.0,Right-handed,On your right side
First,7,5,9.0,Right-handed,On your stomach
Third,9,5,7.0,Right-handed,On your right side
Second,4,7,7.0,Right-handed,On your right side
Second,5,5,7.5,Right-handed,On your back
Fourth or above,7,8,5.0,Right-handed,On your left side
Second,8,7,7.0,Right-handed,On your right side
First,8,15,6.0,Right-handed,On your back
First,8,12,8.0,Right-handed,On your back
First,8,25,9.0,Right-handed,On your stomach
First,4,5,6.0,Right-handed,On your back
First,6,15,6.0,Right-handed,On your stomach
First,3,4,7.0,Right-handed,On your left side
First,2,2,7.0,Right-handed,On your back
First,6,6,7.0,Right-handed,On your left side
First,6,10,8.0,Right-handed,On your stomach
Third,5,7,7.0,Right-handed,On your back
First,3,2,8.0,Right-handed,On your right side
First,10,10,8.0,Right-handed,On your right side
First,7,15,8.5,Right-handed,On your right side
Second,6,10,7.0,Right-handed,On your right side
Third,9,4,6.0,Right-handed,On your right side
Third,7,3,8.0,Right-handed,On your back
Second,3,3,7.0,Right-handed,On your right side
Third,4,6,8.0,Right-handed,On your stomach
Second,9,15,7.0,Right-handed,On your right side
Second,4,2,7.0,Right-handed,On your back
Fourth or above,1,3,8.0,Right-handed,On your back
First,3,3,7.0,Right-handed,On your left side
Third,4,5,6.0,Right-handed,On your right side
Second,7,2,7.0,Right-handed,On your stomach
Third,8,5,8.0,Right-handed,On your right side
Third,5,4,7.0,Right-handed,On your right side
First,3,3,5.5,Right-handed,On your right side
First,7,10,7.0,Right-handed,On your left side
First,8,15,7.5,Right-handed,On your right side
First,4,6,8.0,Right-handed,On your right side
First,8,3,8.0,Right-handed,On your left side
Third,7,12,7.0,Right-handed,On your left side
Fourth or above,9,12,7.0,Right-handed,On your right side
Third,8,5,8.0,Right-handed,On your stomach
Second,7,6,7.0,Right-handed,On your right side
First,4,27,6.0,Right-handed,On your left side
First,4,15,7.0,Right-handed,On your left side
Second,6,5,7.0,Right-handed,On your stomach
Second,7,8,6.5,Right-handed,On your back
Second,9,5,7.0,Both,On your left side
Third,8,6,6.0,Right-handed,On your right side
Second,4,4,7.0,Right-handed,On your back
Third,7,4,7.0,Left-handed,On your right side
Second,5,5,7.0,Right-handed,On your left side
Fourth or above,3,7,6.0,Right-handed,On your right side
Second,8,10,8.0,Right-handed,On your right side
Third,7,5,7.0,Left-handed,On your right side
Second,6,4,7.0,Right-handed,On your back
Third,7,8,7.0,Right-handed,On your left side
Third,6,4,9.0,Right-handed,On your stomach
First,5,8,9.0,Right-handed,On your right side
First,3,1,7.0,Right-handed,On your back
First,4,3,7.0,Right-handed,On your right side
Fourth or above,5,15,8.0,Right-handed,On your stomach
Third,3,5,5.0,Right-handed,On your right side
First,7,3,6.0,Right-handed,On your stomach
Second,4,10,8.0,Left-handed,On your right side
First,3,20,7.0,Right-handed,On your back
First,10,15,9.0,Right-handed,On your back
First,6,10,5.0,Left-handed,On your back
First,8,4,7.0,Right-handed,On your right side
Third,4,3,8.0,Right-handed,On your left side
First,7,4,6.0,Right-handed,On your back
Second,7,6,6.0,Left-handed,On your back
Second,8,6,6.0,Right-handed,On your back
Second,5,2,7.0,Right-handed,On your back
First,8,16,6.0,Right-handed,On your left side
Fourth or above,8,4,6.0,Right-handed,On your left side
First,3,2,9.0,Left-handed,On your right side
First,8,50,8.0,Right-handed,On your right side
Fourth or above,3,3,7.0,Right-handed,On your stomach
Third,8,5,7.0,Right-handed,On your left side
First,6,2,7.0,Right-handed,On your back
First,6,10,8.0,Right-handed,On your right side
Second,7,10,6.0,Right-handed,On your left side
Third,6,6,7.5,Right-handed,On your back
Fourth or above,5,3,7.0,Right-handed,On your left side
Fourth or above,3,0,8.0,Right-handed,On your left side
Second,3,5,8.0,Left-handed,On your left side
Fourth or above,5,0,6.0,Left-handed,On your back
First,4,10,7.0,Right-handed,On your back
Second,6,5,6.0,Right-handed,On your right side
First,3,8,9.0,Right-handed,On your left side
Second,7,3,8.0,Right-handed,On your right side
First,9,7,6.5,Right-handed,On your right side
Second,5,2,7.0,Right-handed,On your stomach
Second,4,2,7.0,Right-handed,On your back
Fourth or above,8,5,9.0,Right-handed,On your stomach
Second,3,8,5.0,Right-handed,On your right side
Second,5,5,6.0,Right-handed,On your stomach
Second,4,4,7.0,Left-handed,On your right side
Second,8,8,8.0,Right-handed,On your right side
First,3,6,7.0,Right-handed,On your right side
First,5,6,8.0,Left-handed,On your back
Second,3,4,5.0,Both,On your left side
First,9,20,8.0,Right-handed,On your left side
First,8,10,7.0,Right-handed,On your right side
Third,4,5,7.0,Right-handed,On your right side
First,7,6,8.0,Right-handed,On your stomach
Fourth or above,5,5,7.5,Right-handed,On your back
Second,5,10,5.0,Right-handed,On your left side
Third,3,10,8.0,Left-handed,On your left side
First,4,8,8.0,Right-handed,On your right side
First,7,20,8.0,Right-handed,On your right side
Third,8,10,8.0,Right-handed,On your back
Second,4,9,7.0,Right-handed,On your right side
Third,7,15,6.0,Right-handed,On your right side
First,3,24,7.5,Right-handed,On your back
Fourth or above,5,3,10.0,Right-handed,On your right side
First,4,10,6.0,Right-handed,On your right side
First,4,3,7.0,Right-handed,On your left side
First,7,6,4.0,Right-handed,On your left side
First,3,10,6.0,Right-handed,On your left side
First,8,6,8.0,Right-handed,On your stomach
First,4,4,7.0,Right-handed,On your right side
Third,8,4,6.0,Right-handed,On your right side
Third,7,3,8.0,Right-handed,On your left side
Second,4,4,6.0,Right-handed,On your left side
First,3,6,7.0,Right-handed,On your stomach
First,6,2,7.0,Right-handed,On your stomach
Second,4,5,7.0,Right-handed,On your right side
Third,3,4,8.0,Right-handed,On your right side
Third,4,2,6.0,Left-handed,On your right side
Second,8,10,7.0,Right-handed,On your right side
