county,state,population,housing_units,urban_pct,low_access_1,low_access_10,low_access_20,carless_pct
Chaffee,CO,17809,7601,40.0,9464,686,9,3.1
Chambers,AL,34215,13933,44.44444444444444,21748,388,0,8.6
Chambers,TX,35096,11952,16.666666666666664,28965,487,0,2.6
Champaign,IL,201081,80665,90.69767441860463,59155,103,0,11.6
Champaign,OH,40097,15329,30.0,22673,0,0,5.4
Chariton,MO,7831,3242,0.0,6292,2490,0,4.2
Charles City,VA,7256,2955,0.0,7255,140,0,4.3
Charles Mix,SD,9129,3249,0.0,5883,3036,5,6.3
Charles,MD,146551,51214,63.33333333333333,95941,1,0,3.9
Charleston,SC,350209,144309,84.88372093023256,114947,3721,700,8.2
Charlevoix,MI,25949,10882,15.384615384615385,17242,298,0,6.1
Charlotte,FL,159978,73370,87.17948717948718,95875,568,0,5.2
Charlotte,VA,12586,5109,0.0,11624,4220,0,10.7
Charlottesville,VA,43475,17778,100.0,1153,0,0,10.4
Charlton,GA,12171,3927,0.0,9904,2001,6,9.9
Chase,KS,2790,1150,0.0,2789,2615,239,4.3
Chase,NE,3966,1681,0.0,1927,1178,3,2.4
Chatham,GA,265128,103038,93.05555555555556,99334,0,0,8.1
Chatham,NC,63505,25845,23.07692307692308,49016,1707,0,5.3
Chattahoochee,GA,11267,2686,60.0,9165,2801,0,4.7
Chattooga,GA,26015,9548,50.0,15672,12,0,7.3
Chautauqua,KS,3669,1612,0.0,2479,1100,3,4.6
Chautauqua,NY,134905,54244,51.42857142857142,65188,1293,0,10.6
Chaves,NM,65645,23691,62.5,28194,6352,416,5.4
Cheatham,TN,39105,14520,22.22222222222222,32034,176,0,3.6
Cheboygan,MI,26152,11133,12.5,22186,1590,0,5.7
Chelan,WA,72453,27827,50.0,35232,3685,231,8.1
Chemung,NY,88830,35462,77.27272727272727,44535,0,0,12.3
Chenango,NY,50477,20436,16.666666666666664,35530,218,0,7.0
Cherokee,AL,25989,10626,16.666666666666664,23936,79,0,3.6
Cherokee,GA,214346,75936,80.76923076923077,129117,0,0,3.2
Cherokee,IA,12072,5207,25.0,7110,841,0,5.4
Cherokee,KS,21603,8625,66.66666666666666,15207,142,0,6.5
Cherokee,NC,27444,11753,0.0,24657,117,0,5.9
Cherokee,OK,46987,17836,33.33333333333333,34805,5600,0,6.0
Cherokee,SC,55342,21519,30.76923076923077,38046,355,0,10.1
Cherokee,TX,50845,17894,41.66666666666667,36486,3718,0,6.4
Cherry,NE,5713,2530,0.0,2956,2236,1664,3.0
Chesapeake,VA,222209,79574,90.24390243902441,73973,18,0,4.1
Cheshire,NH,77117,30204,37.5,57217,877,0,5.3
Chester,PA,498886,182900,82.75862068965517,302484,0,0,5.0
Chester,SC,33140,12876,27.27272727272727,25984,950,0,10.1
Chester,TN,17131,6208,33.33333333333333,12110,1314,0,5.4
Chesterfield,SC,46734,18173,10.0,36287,3644,0,9.3
Chesterfield,VA,316236,115680,94.36619718309859,165923,0,0,2.9
Cheyenne,CO,1836,786,0.0,976,621,443,1.3
Cheyenne,KS,2726,1260,0.0,2726,2675,2431,2.3
Cheyenne,NE,9998,4298,66.66666666666666,3419,1889,67,5.0
Chickasaw,IA,12439,5204,25.0,8844,1834,0,4.8
Chickasaw,MS,17392,6639,25.0,11169,514,0,9.5
Chicot,AR,11800,4579,50.0,5517,85,0,15.6
Childress,TX,7041,2326,50.0,5666,144,0,6.5
Chilton,AL,43643,16558,11.11111111111111,37102,721,0,5.7
Chippewa,MI,38520,14329,35.714285714285715,22656,7054,2631,7.6
Chippewa,MN,12441,5241,25.0,5460,1159,0,4.1
Chippewa,WI,62415,24410,45.454545454545446,41013,590,0,5.8
Chisago,MN,53887,19470,50.0,37588,75,0,5.5
Chittenden,VT,156545,61827,68.57142857142857,75033,358,0,7.4
Choctaw,AL,13859,5866,0.0,11994,2612,0,10.2
Choctaw,MS,8547,3446,0.0,6406,287,0,11.5
Choctaw,OK,15205,6270,40.0,12068,4017,619,8.7
Chouteau,MT,5813,2294,0.0,4373,4149,2737,7.3
Chowan,NC,14793,6059,33.33333333333333,10530,2549,0,11.8
Christian,IL,34800,14055,50.0,15797,984,0,5.6
Christian,KY,73955,26144,68.42105263157895,36213,1037,0,8.2
Christian,MO,77422,29077,35.714285714285715,46586,1132,0,3.5
Churchill,NV,24877,9671,42.857142857142854,15711,791,69,5.1
Cibola,NM,27213,8860,42.857142857142854,16857,7524,2414,6.2
Cimarron,OK,2475,1047,0.0,1194,1000,111,3.6
Citrus,FL,141236,63304,55.55555555555556,107725,154,0,5.3
Clackamas,OR,375992,145790,73.75,138995,549,0,5.6
Claiborne,LA,17195,6017,20.0,12450,839,0,11.9
Claiborne,MS,9604,3440,0.0,7581,1010,0,11.3
Claiborne,TN,32213,12853,0.0,27433,1594,0,6.5
Clallam,WA,71404,31329,59.09090909090909,43697,4117,88,7.0
Clare,MI,30926,12966,9.090909090909092,23692,344,0,7.5
Clarendon,SC,34971,13132,8.333333333333332,27459,1228,0,10.0
Clarion,PA,39988,16128,20.0,27788,679,0,8.4
Clark,AR,22995,8783,40.0,13498,1486,0,5.4
Clark,ID,982,345,0.0,982,982,889,4.4
Clark,IL,16335,6782,25.0,9726,1073,0,3.7
Clark,IN,110232,44248,69.23076923076923,53707,1058,0,5.9
Clark,KS,2215,923,0.0,2214,2214,2019,2.2
Clark,KY,35613,14267,50.0,15193,0,0,8.9
Clark,MO,7139,2933,0.0,4998,973,0,5.1
Clark,NV,1951269,715365,96.30390143737166,361644,12258,4944,8.5
Clark,OH,138333,55244,75.0,60149,0,0,8.7
Clark,SD,3691,1445,0.0,2515,1708,14,4.6
Clark,WA,425363,158099,82.6923076923077,162709,169,0,5.0
Clark,WI,34690,12679,0.0,26692,1818,0,9.6
Clarke,AL,25833,10337,22.22222222222222,19644,2269,0,12.4
Clarke,GA,116714,45414,93.33333333333333,57371,0,0,8.3
Clarke,IA,9286,3701,33.33333333333333,4511,621,0,6.0
Clarke,MS,16732,6733,0.0,13952,2306,0,8.4
Clarke,VA,14034,5509,0.0,9902,170,0,4.3
Clatsop,OR,37039,15742,33.33333333333333,25407,2732,0,9.2
Clay,AL,13932,5670,0.0,10392,742,0,4.1
Clay,AR,16083,6845,33.33333333333333,9344,592,0,6.6
Clay,FL,190865,68792,73.33333333333333,99729,1507,0,3.2
Clay,GA,3183,1331,0.0,1913,50,0,23.4
Clay,IA,16667,7282,50.0,7336,394,0,5.5
Clay,IL,13815,5697,25.0,8517,2124,0,4.9
Clay,IN,26890,10447,33.33333333333333,16944,127,0,5.7
Clay,KS,8535,3559,50.0,4257,2243,0,3.3
Clay,KY,21730,7732,16.666666666666664,17857,1212,0,13.4
Clay,MN,58999,22279,69.23076923076923,25732,2290,0,6.6
Clay,MO,221939,87217,84.0909090909091,103323,0,0,4.0
Clay,MS,20634,8029,40.0,11568,2992,0,10.0
Clay,NC,10587,4660,0.0,9628,393,0,4.9
Clay,NE,6542,2649,0.0,5035,3032,0,2.0
Clay,SD,13864,5110,66.66666666666666,5278,1214,0,4.3
Clay,TN,7861,3358,0.0,6278,1,0,6.7
Clay,TX,10752,4319,33.33333333333333,8672,3394,7,3.2
Clay,WV,9386,3728,0.0,8800,1448,0,8.6
Clayton,GA,259424,90633,96.0,113043,0,0,7.1
Clayton,IA,18129,7599,0.0,13432,2836,0,4.8
Clear Creek,CO,9088,4208,0.0,7728,1116,0,2.2
Clearfield,PA,81642,32288,40.0,52673,2074,0,7.4
Clearwater,ID,8761,3660,0.0,5923,681,0,2.5
Clearwater,MN,8695,3527,0.0,7148,3352,131,7.1
Cleburne,AL,14972,5891,0.0,12280,146,0,5.0
Cleburne,AR,25970,11078,14.285714285714285,19720,2218,0,2.3
Clermont,OH,197363,74828,72.5,133837,0,0,4.9
Cleveland,AR,8689,3416,0.0,7472,2128,0,4.2
Cleveland,NC,98078,38555,40.909090909090914,66067,1247,0,7.0
Cleveland,OK,255755,98306,85.48387096774194,126368,1251,0,4.0
Clinch,GA,6798,2572,0.0,3514,499,422,11.7
Clinton,IA,49116,20223,66.66666666666666,21880,3497,0,6.3
Clinton,IL,37762,14005,12.5,20816,164,0,4.1
Clinton,IN,33224,12105,50.0,17055,787,0,4.6
Clinton,KY,10272,4358,0.0,8498,164,0,6.6
Clinton,MI,75382,28766,45.454545454545446,58507,34,0,2.6
Clinton,MO,20743,7951,25.0,15924,507,0,3.2
Clinton,NY,82128,31582,42.10526315789473,57479,13508,0,9.2
Clinton,OH,42040,16210,55.55555555555556,26986,0,0,5.9
Clinton,PA,39238,15151,33.33333333333333,25196,1743,0,9.4
Cloud,KS,9533,3910,50.0,4432,2854,0,5.6
Coahoma,MS,26151,9461,42.857142857142854,11132,4049,1,13.9
Coal,OK,5925,2350,0.0,3906,1596,0,7.3
Cobb,GA,688078,260056,100.0,286387,0,0,3.8
Cochise,AZ,131346,50865,56.25,88650,14892,4734,5.3
Cochran,TX,3127,1113,0.0,1070,662,0,9.7
Cocke,TN,35662,14788,11.11111111111111,27542,3656,0,6.7
Coconino,AZ,134421,46711,60.71428571428571,67913,18133,8909,6.2
Codington,SD,27227,11432,57.14285714285714,16076,2217,0,5.5
Coffee,AL,49948,19849,35.714285714285715,35122,2609,0,5.0
Coffee,GA,42356,14817,0.0,31207,2972,0,9.7
Coffee,TN,52796,20926,33.33333333333333,32360,826,0,5.2
Coffey,KS,8601,3497,33.33333333333333,6916,3810,0,6.2
Coke,TX,3320,1466,0.0,3319,3319,2556,3.7
Colbert,AL,54428,22773,64.28571428571429,35420,298,0,6.0
Cole,MO,75990,29722,60.0,45281,256,0,6.6
Coleman,TX,8895,3857,33.33333333333333,4871,1580,148,7.1
Coles,IL,53873,21463,83.33333333333334,19830,1409,0,6.8
Colfax,NE,10515,3618,33.33333333333333,4632,2691,0,5.5
Colfax,NM,13750,6011,0.0,10274,3957,3430,9.8
Colleton,SC,38892,15131,20.0,30676,7741,0,7.4
Collier,FL,321520,133179,91.78082191780823,138768,1871,1287,5.8
Collin,TX,782341,283759,91.44736842105264,267230,14,0,2.7
Collingsworth,TX,3057,1179,0.0,941,216,0,6.4
Colonial Heights,VA,17411,7275,100.0,3511,0,0,6.4
Colorado,TX,20874,8182,20.0,12007,3322,3,5.4
Colquitt,GA,45498,16317,40.0,34386,3662,0,10.5
Columbia,AR,24552,9759,40.0,15573,1467,0,6.9
Columbia,FL,67531,24941,25.0,52578,6042,0,6.3
Columbia,GA,124053,44898,75.0,57921,1081,0,2.8
Columbia,NY,63096,25906,19.047619047619047,52272,528,0,7.3
Columbia,OR,49351,19183,40.0,25350,307,0,6.1
Columbia,PA,67295,26479,46.666666666666664,36713,0,0,7.7
Columbia,WA,4078,1762,100.0,2003,439,2,7.3
Columbia,WI,56833,22735,25.0,35592,16,0,4.3
Columbiana,OH,107841,42683,50.0,65993,1187,0,7.1
Columbus,NC,58098,22489,7.6923076923076925,45016,366,0,8.3
Colusa,CA,21419,7056,40.0,6749,1478,472,5.4
Comal,TX,108472,41363,41.66666666666667,79805,0,0,3.1
Comanche,KS,1891,824,0.0,1060,336,12,2.2
Comanche,OK,124098,44982,71.875,69524,4193,46,7.2
Comanche,TX,13974,5580,25.0,7779,2097,0,4.7
Concho,TX,4087,1041,0.0,1339,1091,69,4.9
Concordia,LA,20822,7613,40.0,11651,2032,37,11.8
Conecuh,AL,13228,5625,0.0,10301,3725,0,7.7
Conejos,CO,8256,3118,0.0,6247,463,48,5.8
Contra Costa,CA,1049025,375364,97.1153846153846,277660,0,0,5.9
Converse,WY,13833,5673,25.0,6275,986,392,2.6
Conway,AR,21273,8463,33.33333333333333,15611,4016,0,5.8
Cook,GA,17212,6339,0.0,12970,243,0,8.1
Cook,IL,5194675,1966356,99.84825493171472,433394,0,0,17.9
Cook,MN,5176,2494,0.0,3834,1468,842,5.2
Cooke,TX,38437,14513,50.0,23081,1190,0,5.2
Cooper,MO,17601,6554,60.0,9998,3504,0,4.5
Coos,NH,33055,14171,18.181818181818183,22078,1731,69,7.8
Coos,OR,63043,27133,46.15384615384616,26073,1468,0,7.6
Coosa,AL,11539,4794,0.0,10361,2834,0,6.9
Copiah,MS,29449,10708,33.33333333333333,24107,3635,0,8.5
Corson,SD,4050,1260,0.0,4050,3636,2946,14.7
Cortland,NY,49336,18671,66.66666666666666,24211,701,0,9.6
Coryell,TX,75388,22545,57.89473684210527,48268,3410,30,4.3
Coshocton,OH,36901,14658,30.0,29106,1587,0,8.3
Costilla,CO,3524,1550,0.0,3523,3522,2767,11.2
Cottle,TX,1505,677,0.0,286,140,0,11.5
Cotton,OK,6193,2483,50.0,3540,390,0,5.7
Cottonwood,MN,11687,4857,0.0,7613,4605,0,6.5
Covington,AL,37765,15531,28.57142857142857,24412,2737,0,5.3
Covington,MS,19568,7430,0.0,16498,0,0,7.3
Covington,VA,5961,2632,100.0,1380,0,0,4.6
Coweta,GA,127317,45673,65.0,93564,0,0,3.7
Cowley,KS,36311,13940,72.72727272727273,15236,2922,177,4.8
Cowlitz,WA,102410,40244,66.66666666666666,61160,942,0,7.2
Craig,OK,15029,5691,40.0,9756,2393,0,5.7
Craig,VA,5190,2183,0.0,3860,643,0,6.5
Craighead,AR,96443,37291,64.70588235294117,58280,761,0,7.2
Crane,TX,4375,1471,100.0,588,199,0,3.7
Craven,NC,103505,40299,66.66666666666666,65330,194,0,7.6
Crawford,AR,61948,23447,54.54545454545454,43460,4796,0,3.7
Crawford,GA,12630,4822,0.0,11283,9,0,6.1
Crawford,IA,17096,6413,20.0,10647,3151,0,3.9
Crawford,IL,19817,7763,33.33333333333333,12313,792,0,5.6
Crawford,IN,10713,4303,0.0,10043,1211,0,5.2
Crawford,KS,39134,15729,54.54545454545454,24361,2005,0,6.0
Crawford,MI,14074,6016,0.0,11442,1192,0,5.9
Crawford,MO,24696,9831,16.666666666666664,16986,785,0,5.2
Crawford,OH,43784,18099,69.23076923076923,16722,0,0,5.8
Crawford,PA,88765,35028,30.43478260869565,60722,1272,0,9.4
Crawford,WI,16644,6812,33.33333333333333,13818,1766,0,7.3
Creek,OK,69967,26539,28.57142857142857,50899,611,0,3.9
Crenshaw,AL,13906,5652,0.0,11773,5383,0,6.2
Crisp,GA,23439,9079,16.666666666666664,17612,145,0,11.5
Crittenden,AR,50902,19026,70.0,18718,362,0,11.5
Crittenden,KY,9315,3781,25.0,6116,0,0,8.8
Crockett,TN,14586,5709,20.0,9729,109,0,5.0
Crockett,TX,3719,1422,0.0,587,248,89,3.0
Crook,OR,20978,8558,25.0,11447,1604,303,5.8
Crook,WY,7083,2921,0.0,5996,5139,2018,1.4
Crosby,TX,6059,2237,0.0,1098,277,0,5.1
Cross,AR,17870,7002,33.33333333333333,10615,2014,0,7.5
Crow Wing,MN,62500,26033,31.25,42911,415,0,6.5
Crowley,CO,5823,1306,0.0,5818,3114,76,4.3
Culberson,TX,2398,908,0.0,2006,187,139,6.0
Cullman,AL,80406,31864,16.666666666666664,64524,763,0,4.4
Culpeper,VA,46689,16231,37.5,31265,712,0,5.3
Cumberland,IL,11048,4377,0.0,7817,91,0,5.8
Cumberland,KY,6856,2883,0.0,5254,136,0,6.8
Cumberland,ME,281674,117339,59.70149253731343,160269,41,0,8.4
Cumberland,NC,319431,122431,83.82352941176471,143312,141,0,6.6
Cumberland,NJ,156898,51931,68.57142857142857,79829,5532,0,9.2
Cumberland,PA,235406,93943,81.63265306122449,104795,24,0,6.1
Cumberland,TN,56053,23791,35.714285714285715,45781,2394,0,5.3
Cumberland,VA,10052,3980,0.0,10052,5604,0,6.5
Cuming,NE,9139,3756,0.0,5795,3005,0,5.6
Currituck,NC,23547,8880,0.0,20644,3085,0,3.2
Curry,NM,48376,18015,75.0,22441,1597,480,6.1
Curry,OR,22364,10417,16.666666666666664,10697,870,91,4.6
Custer,CO,4255,1925,0.0,3191,1052,77,3.5
Custer,ID,4368,1936,0.0,2499,959,373,3.2
Custer,MT,11699,5031,83.33333333333334,5850,946,472,5.3
Custer,NE,10939,4714,25.0,7247,5650,1272,5.6
Custer,OK,27469,10698,80.0,12220,3229,125,3.0
Custer,SD,8216,3636,0.0,6173,2904,222,1.9
Cuyahoga,OH,1280122,545056,99.10514541387025,264891,0,0,13.8
Dade,GA,16633,6291,0.0,13200,175,0,3.9
Dade,MO,7883,3271,0.0,5412,509,0,3.9
Daggett,UT,1059,426,0.0,1058,1058,1058,1.1
Dakota,MN,398552,152060,94.73684210526316,181453,0,0,4.4
Dakota,NE,21006,7218,50.0,8026,1178,0,5.5
Dale,AL,50251,20065,35.714285714285715,37117,1821,0,6.3
Dallam,TX,6703,2448,50.0,3478,966,175,3.9
Dallas,AL,43820,17064,46.666666666666664,23774,4086,0,15.1
Dallas,AR,8116,3280,33.33333333333333,4971,994,0,11.9
Dallas,IA,66135,25240,53.333333333333336,35644,0,0,2.9
Dallas,MO,16777,6524,33.33333333333333,13462,3082,0,6.7
Dallas,TX,2368139,855960,98.48771266540642,545274,0,0,7.4
Dane,WI,488073,203750,86.91588785046729,207188,32,0,8.0
Daniels,MT,1751,798,0.0,1750,1750,1750,2.0
Danville,VA,43055,18831,93.75,8314,0,0,17.0
Dare,NC,33920,14335,45.454545454545446,20474,1043,0,3.9
Darke,OH,52959,20929,33.33333333333333,33126,275,0,6.5
Darlington,SC,68681,26531,37.5,48352,12,0,10.6
Dauphin,PA,268100,110435,90.76923076923076,148031,0,0,10.6
Davidson,NC,162878,64515,50.0,117978,0,0,5.6
Davidson,TN,626681,259499,93.16770186335404,197402,0,0,7.4
Davie,NC,41240,16245,42.857142857142854,33011,0,0,4.0
Daviess,IN,31648,11329,42.857142857142854,18956,0,0,13.7
Daviess,KY,96656,38619,73.91304347826086,42653,568,0,5.7
Daviess,MO,8433,3214,0.0,6715,1858,0,7.5
Davis,IA,8753,3201,0.0,6071,1161,0,11.7
Davis,UT,306479,93545,96.29629629629628,113480,0,0,3.5
Davison,SD,19504,8296,75.0,8060,1258,0,3.8
Dawes,NE,9182,3684,50.0,3448,2105,1398,6.0
Dawson,GA,22330,8433,0.0,18690,0,0,3.1
Dawson,MT,8966,3749,66.66666666666666,6053,1101,694,4.9
Dawson,NE,24326,8899,57.14285714285714,13570,1926,33,4.9
Dawson,TX,13833,4385,75.0,5847,1170,172,8.9
Day,SD,5710,2504,0.0,3761,2790,16,5.0
De Baca,NM,2022,912,0.0,2022,2022,2022,10.4
De Soto,LA,26656,10562,14.285714285714285,20839,5925,0,9.9
De Witt,IL,16561,6811,40.0,7041,298,0,4.5
DeKalb,AL,71109,26842,0.0,59861,0,0,4.2
DeKalb,GA,691893,271809,98.6206896551724,193693,0,0,9.0
DeKalb,IL,105160,38484,71.42857142857143,53070,282,0,7.0
DeKalb,IN,42223,15951,44.44444444444444,29726,0,0,5.9
DeKalb,MO,12892,3839,0.0,8770,4821,0,6.4
DeKalb,TN,18723,7420,25.0,14469,177,0,5.8
DeSoto,FL,34862,11445,33.33333333333333,20737,696,0,7.8
DeSoto,MS,161252,57748,81.81818181818183,107950,1728,0,3.5
DeWitt,TX,20097,7407,0.0,12256,1374,0,6.1
Deaf Smith,TX,19372,6365,75.0,6806,942,156,6.6
Dearborn,IN,50047,18743,50.0,45001,0,0,4.2
Decatur,GA,27842,10390,28.57142857142857,18604,1672,0,11.9
Decatur,IA,8457,3223,0.0,5106,919,0,11.3
Decatur,IN,25740,9977,33.33333333333333,15350,2786,0,4.6
Decatur,KS,2961,1378,0.0,1039,499,0,6.9
Decatur,TN,11757,4927,0.0,9181,749,0,4.1
Deer Lodge,MT,9298,4018,66.66666666666666,3489,315,28,8.9
Defiance,OH,39037,15268,55.55555555555556,23771,0,0,4.7
Del Norte,CA,28610,9907,57.14285714285714,18634,1625,74,8.8
Delaware,IA,17764,7062,25.0,12619,1118,0,4.0
Delaware,IN,117671,46516,76.66666666666667,56477,0,0,8.2
Delaware,NY,47980,19898,21.428571428571427,33900,1347,0,10.0
Delaware,OH,174214,62760,74.28571428571429,113422,0,0,2.9
Delaware,OK,41487,17093,11.11111111111111,36030,5498,0,4.4
Delaware,PA,558979,208700,99.30555555555556,122322,0,0,11.2
Delta,CO,30952,12703,14.285714285714285,18664,380,0,4.5
Delta,MI,37069,15992,45.454545454545446,21749,3414,334,8.1
Delta,TX,5231,2088,0.0,3098,377,0,7.9
Denali,AK,1826,806,0.0,1826,1826,1826,0.4
Dent,MO,15657,6338,50.0,10463,2274,6,6.7
Denton,TX,662614,240289,87.59124087591242,283291,1037,0,3.0
Denver,CO,600158,263107,100.0,98648,0,0,11.0
Des Moines,IA,40325,17003,72.72727272727273,19765,2215,0,6.7
Deschutes,OR,157733,64090,58.333333333333336,73703,765,64,4.1
Desha,AR,13008,5321,40.0,7472,1115,0,13.8
Deuel,NE,1941,867,0.0,943,520,0,4.3
Deuel,SD,4364,1819,0.0,4363,4237,1536,1.5
Dewey,OK,4810,1944,0.0,4809,4809,3385,3.2
Dewey,SD,5301,1730,50.0,2927,2319,1710,9.3
Dickens,TX,2444,930,0.0,1420,484,26,3.8
Dickenson,VA,15903,6590,0.0,13887,30,0,10.6
Dickey,ND,5289,2180,0.0,3411,2790,2171,3.4
Dickinson,IA,16667,7554,20.0,9339,236,0,5.8
Dickinson,KS,19754,8073,33.33333333333333,10937,3152,0,6.0
Dickinson,MI,26168,11359,42.857142857142854,13410,2359,86,5.8
Dickson,TN,49666,19107,20.0,36359,1468,0,6.2
Dillingham,AK,4847,1563,0.0,3886,1578,1100,38.1
Dillon,SC,32062,11923,16.666666666666664,21655,0,0,12.2
Dimmit,TX,9996,3421,50.0,5040,1060,31,6.5
Dinwiddie,VA,28001,10504,28.57142857142857,23205,3487,0,3.9
District of Columbia,DC,601723,266707,100.0,17034,0,0,36.4
Divide,ND,2071,977,0.0,996,684,75,2.4
Dixie,FL,16422,6316,0.0,13764,927,173,6.9
Dixon,NE,6000,2370,0.0,6000,2498,0,4.6
Doddridge,WV,8202,3099,0.0,7144,169,0,5.9
Dodge,GA,21796,8177,0.0,14076,0,0,9.6
Dodge,MN,20087,7460,40.0,12658,802,0,3.1
Dodge,NE,36691,14990,55.55555555555556,14684,4157,0,4.9
Dodge,WI,88759,33840,45.0,45787,0,0,4.8
Dolores,CO,2064,899,0.0,1277,413,51,4.7
Doniphan,KS,7945,3136,0.0,7944,4184,0,5.5
Donley,TX,3677,1517,0.0,2080,534,0,2.1
Dooly,GA,14918,5286,66.66666666666666,11348,4992,0,9.2
Door,WI,27785,12548,22.22222222222222,20565,642,0,4.7
Dorchester,MD,32618,13522,30.0,21352,1955,0,9.6
Dorchester,SC,136555,50259,76.0,68170,1480,0,5.4
Dougherty,GA,94565,36508,77.77777777777779,53606,94,0,12.9
Douglas,CO,285465,102018,75.40983606557377,121653,1687,0,1.8
Douglas,GA,132403,46624,75.0,82209,79,0,4.3
Douglas,IL,19980,7720,40.0,8796,1283,0,9.4
Douglas,KS,110826,43576,86.36363636363636,33004,11,0,5.8
Douglas,MN,36009,15289,22.22222222222222,28973,7564,0,4.9
Douglas,MO,13684,5587,33.33333333333333,11740,3536,0,4.4
Douglas,NE,517110,202411,95.51282051282051,103604,0,0,7.6
Douglas,NV,46997,19638,41.17647058823529,40581,2150,15,2.6
Douglas,OR,107667,44581,36.36363636363637,62836,9106,611,6.6
Douglas,SD,3002,1210,0.0,3001,2801,713,3.5
Douglas,WA,38431,13894,75.0,26404,3612,82,3.7
Douglas,WI,44159,18555,75.0,20133,7701,1,8.3
Drew,AR,18509,7360,20.0,11896,1723,0,4.8
DuPage,IL,916924,337132,98.61111111111111,252538,0,0,4.1
Dubois,IN,41889,16133,57.14285714285714,21208,1053,0,3.4
Dubuque,IA,93653,36815,76.92307692307693,44345,377,0,5.7
Duchesne,UT,18607,6003,33.33333333333333,11642,4651,909,2.7
Dukes,MA,16535,7368,75.0,9819,63,0,2.6
Dundy,NE,2008,897,0.0,1043,667,19,2.7
Dunklin,MO,31953,12837,40.0,13440,1,0,10.2
Dunn,ND,3536,1401,0.0,3535,3341,2807,1.2
Dunn,WI,43857,16373,37.5,29678,2750,0,4.8
Duplin,NC,58505,22495,18.181818181818183,44682,319,0,9.1
Durham,NC,267587,109348,91.66666666666666,103098,63,0,9.0
Dutchess,NY,297488,107965,65.82278481012658,186455,0,0,8.8
Duval,FL,864263,342450,95.95375722543352,283765,0,0,8.4
Duval,TX,11782,4090,0.0,6046,3156,18,11.1
Dyer,TN,38335,15183,37.5,28643,122,0,5.8
Eagle,CO,52197,19236,28.57142857142857,24491,554,1,1.7
Early,GA,11008,4228,0.0,7887,403,0,12.7
East Baton Rouge,LA,440171,172057,91.30434782608697,164709,150,0,7.0
East Carroll,LA,7759,2552,66.66666666666666,3711,541,0,22.1
East Feliciana,LA,20267,7022,0.0,19265,813,0,5.6
Eastland,TX,18583,7465,20.0,9743,3148,0,6.3
Eaton,MI,107759,43494,64.28571428571429,62726,29,0,5.3
Eau Claire,WI,98736,39493,80.0,48979,530,0,6.4
Echols,GA,4034,1329,0.0,3474,194,15,2.9
Ector,TX,137130,48688,89.28571428571429,49006,1685,2,4.9
Eddy,ND,2385,1057,0.0,969,688,224,2.5
Eddy,NM,53829,20411,66.66666666666666,30611,3134,374,3.9
Edgar,IL,18576,7839,40.0,11699,4611,0,7.0
Edgecombe,NC,56552,21680,42.857142857142854,35982,0,0,12.2
Edgefield,SC,26985,9348,16.666666666666664,19538,911,0,5.8
Edmonson,KY,12161,4857,0.0,11104,262,0,6.1
Edmunds,SD,4071,1607,0.0,3112,2591,748,2.3
Edwards,IL,6721,2840,0.0,3956,1243,0,4.4
Edwards,KS,3037,1302,0.0,1546,485,23,4.6
Edwards,TX,2002,839,0.0,810,638,383,7.2
Effingham,GA,52250,18092,20.0,45076,271,0,3.1
Effingham,IL,34242,13515,37.5,22650,2080,0,4.5
El Dorado,CA,181058,70223,46.51162790697674,120498,196,0,4.8
El Paso,CO,622263,235959,87.6923076923077,276009,12190,2927,4.7
El Paso,TX,800647,256557,89.44099378881988,273414,157,0,7.5
Elbert,CO,23086,8380,0.0,21014,6389,1421,2.1
Elbert,GA,20166,8063,20.0,16134,646,0,8.4
Elk,KS,2882,1284,0.0,2882,2863,1257,4.1
Elk,PA,31946,13693,33.33333333333333,17578,68,0,7.9
Elkhart,IN,197559,70244,83.33333333333334,92076,0,0,9.1
Elko,NV,48818,17442,42.857142857142854,26663,4705,2480,3.7
Elliott,KY,7852,2773,0.0,7701,15,0,8.5
Ellis,KS,28452,11908,50.0,10954,3267,0,5.1
Ellis,OK,4151,1782,0.0,4151,4127,3289,1.6
Ellis,TX,149610,50503,48.38709677419355,106112,34,0,3.2
Ellsworth,KS,6497,2463,0.0,3393,2027,0,7.3
Elmore,AL,79303,28301,20.0,66039,178,0,4.3
Elmore,ID,27038,10140,40.0,14032,3526,2244,3.3
Emanuel,GA,22598,8430,16.666666666666664,17868,4794,0,9.4
Emery,UT,10976,3732,33.33333333333333,7783,4428,1132,1.9
Emmet,IA,10302,4236,50.0,4762,2215,0,4.8
Emmet,MI,32694,13601,37.5,23184,4855,0,5.1
Emmons,ND,3550,1594,0.0,2372,1640,350,3.6
Emporia,VA,5927,2316,100.0,289,0,0,17.7
Erath,TX,37890,14569,50.0,26748,4141,47,4.3
Erie,NY,919040,383164,87.76371308016878,335317,2,0,13.8
Erie,OH,77079,31860,68.42105263157895,45726,34,0,7.2
Erie,PA,280566,110413,77.77777777777779,130996,171,0,11.0
Escambia,AL,38319,14157,22.22222222222222,25930,2433,0,5.7
Escambia,FL,297619,116238,91.54929577464787,154818,848,0,6.4
Esmeralda,NV,783,389,0.0,783,760,760,2.7
Essex,MA,743159,285956,92.63803680981596,285958,0,0,10.9
Essex,NJ,783969,283712,100.0,69123,0,0,22.9
